codigo,nombre,rif
0001,Banco Central de Venezuela,G-20000110-0
0102,Banco de Venezuela S.A.,G-20009997-6
0104,Banco Venezolano de Crédito S.A.,J-00002970-9
0105,Mercantil Banco C.A.,J-00002961-0
0108,BBVA Provincial S.A.,J-00002967-9
0114,Bancaribe C.A.,J-00002949-0
0115,Banco Exterior C.A.,J-00002950-4
0128,Banco Caroní C.A.,J-09504855-1
0134,Banesco Banco Universal S.A.C.A.,J-07013380-5
0137,Banco Sofitasa,J-09028384-6
0138,Banco Plaza,J-00297055-3
0146,Bangente C.A.,J-30144204-0
0151,BFC Banco Fondo Común C.A.,J-00072306-0
0156,100% Banco,J-08500776-8
0157,DelSur Banco Universal,J-00079723-4
0163,Banco del Tesoro C.A.,G-20005187-6
0166,Banco Agrícola de Venezuela C.A.,G-20005795-5
0168,Bancrecer S.A.,J-31637417-3
0169,Mi Banco,J-31594102-3
0171,Banco Activo C.A.,J-08006622-7
0172,Bancamiga Banco Universal C.A.,J-31622443-5
0173,Banco Internacional de Desarrollo C.A.,J-29464010-9
0174,Banplus Banco Universal C.A.,J-00042303-2
0175,Banco Digital de los Trabajadores (BDT),G-20009148-7
0177,BANFANB,G-20010657-3
0178,N58 Banco Digital S.A.,J-50358110-7
0191,Banco Nacional de Crédito (BNC),J-30984132-7
0601,Instituto Municipal de Crédito Popular,J-00014590-3
0685,Citibank N.A.,J-00052662-1
0691,Banco de Comercio Exterior (BANCOEX),G-20007771-9
